song	artist	hip_hop_rnb	genre
It's Been Awhile[17]	Staind	0	Country / Rock
It's Not My Time	3 Doors Down	0	Country / Rock
Jaded	Aerosmith	0	Country / Rock
Joyride (Omen)	Chevelle	0	Country / Rock
Just Like You	Three Days Grace	0	Country / Rock
Know Your Enemy	Green Day	0	Country / Rock
Kryptonite[6]	3 Doors Down	0	Country / Rock
Land of Confusion	Disturbed	0	Country / Rock
Last Day Under the Sun	Volbeat	0	Country / Rock
Let Me Hear You Scream	Ozzy Osbourne	0	Country / Rock
Let You Down	Seether	0	Country / Rock
Lies of the Beautiful People	Sixx:A.M.	0	Country / Rock
Lifeline	Papa Roach	0	Country / Rock
Lift Me Up	Five Finger Death Punch	0	Country / Rock
Lights Out	Royal Blood	0	Country / Rock
Like a Stone	Audioslave	0	Country / Rock
Little Monster	Royal Blood	0	Country / Rock
Live to Rise	Soundgarden	0	Country / Rock
Lo/Hi	The Black Keys	0	Country / Rock
Lola Montez	Volbeat	0	Country / Rock
Loser	3 Doors Down	0	Country / Rock
Lowlife	Theory of a Deadman	0	Country / Rock
Messed Up World (F'd Up World)	The Pretty Reckless	0	Country / Rock
Misery Loves My Company	Three Days Grace	0	Country / Rock
Monsters	Shinedown	0	Country / Rock
My Name Is Human	Highly Suspect	0	Country / Rock
My Sacrifice	Creed	0	Country / Rock
Never Again	Breaking Benjamin	0	Country / Rock
Never Again	Nickelback	0	Country / Rock
Never Never	Korn	0	Country / Rock
Never Too Late	Three Days Grace	0	Country / Rock
New Divide	Linkin Park	0	Country / Rock
No Leaf Clover	Metallica	0	Country / Rock
No More	Disturbed	0	Country / Rock
Not Again	Staind	0	Country / Rock
Numb	Linkin Park	0	Country / Rock
Open Your Eyes	Disturbed	0	Country / Rock
Out of Time	Stone Temple Pilots with Chester Bennington	0	Country / Rock
Outside	Aaron Lewis with Fred Durst	0	Country / Rock
Pain	Three Days Grace	0	Country / Rock
Painkiller	Three Days Grace	0	Country / Rock
Panic Attack	The Glorious Sons	0	Country / Rock
Paralyzer	Finger Eleven	0	Country / Rock
Photograph	Nickelback	0	Country / Rock
Porn Star Dancing	My Darkest Days featuring Zakk Wylde and Chad Kroeger	0	Country / Rock
Psycho[79]	Puddle of Mudd	0	Country / Rock
Rats	Ghost	0	Country / Rock
Remedy	Seether	0	Country / Rock
Remember When[22]	Bad Wolves	0	Country / Rock
Right Here	Staind	0	Country / Rock
Right Left Wrong	Three Days Grace	0	Country / Rock
Rock 'N Roll Train	AC/DC	0	Country / Rock
Rope	Foo Fighters	0	Country / Rock
Run	Foo Fighters	0	Country / Rock
Rx (Medicate)	Theory of a Deadman	0	Country / Rock
S.O.S. (Sawed Off Shotgun)	The Glorious Sons	0	Country / Rock
Safari Song	Greta Van Fleet	0	Country / Rock
Save Me	Shinedown	0	Country / Rock
Say You'll Haunt Me	Stone Sour	0	Country / Rock
Second Chance (2009)[88]	Shinedown	0	Country / Rock
Send the Pain Below	Chevelle	0	Country / Rock
Sham Pain	Five Finger Death Punch	0	Country / Rock
She Hates Me	Puddle of Mudd	0	Country / Rock
Shepherd of Fire	Avenged Sevenfold	0	Country / Rock
Slither	Velvet Revolver	0	Country / Rock
So Far Away	Avenged Sevenfold	0	Country / Rock
So Far Away	Staind	0	Country / Rock
Something from Nothing	Foo Fighters	0	Country / Rock
Something in Your Mouth	Nickelback	0	Country / Rock
